vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,45.0,1.4722,0.9034,594.6508,544.2634,68.6789
0.11,19.0,1.6389,0.8988,626.4195,575.4676,46.4055
0.11,20.0,1.6389,0.8986,625.2501,574.3589,47.2496
0.11,21.0,1.6389,0.8985,624.0771,573.2428,48.096
0.11,21.0,1.6389,0.8985,624.0771,573.2428,48.096
0.11,24.0,1.6389,0.8979,620.5352,569.8645,50.6365
0.11,24.0,1.6389,0.8979,619.3468,568.7284,51.4837
0.11,25.0,1.6389,0.8977,619.3468,568.7284,52.3311
0.11,26.0,1.6389,0.8976,618.1544,567.5869,52.3311
0.11,26.0,1.6389,0.8976,618.1544,567.5869,52.3311
0.11,26.0,1.6389,0.8976,618.1544,567.5869,54.8746
0.11,29.0,1.6389,0.897,614.5528,564.1305,54.8746
0.11,29.0,1.6389,0.897,614.5528,564.1305,54.8746
0.11,29.0,1.6389,0.897,614.5528,560.6244,57.4193
0.11,32.0,1.6389,0.8964,610.913,559.4443,58.2677
0.11,33.0,1.6389,0.8962,609.691,559.4443,58.2677
0.11,33.0,1.6389,0.8962,609.691,559.4443,58.2677
0.11,33.0,1.6389,0.8962,609.691,559.4443,58.2677
0.11,36.0,1.6389,0.8956,605.9974,555.8678,60.8138
0.11,36.0,1.6389,0.8956,605.9974,555.8678,60.8138
0.11,36.0,1.6389,0.8956,605.9974,552.2358,63.3603
0.11,39.0,1.6389,0.895,602.261,552.2358,63.3603
0.11,39.0,1.6389,0.895,602.261,552.2358,63.3603
0.11,39.0,1.6389,0.895,602.261,552.2358,63.3603
0.11,39.0,1.6389,0.895,602.261,552.2358,63.3603
0.11,39.0,1.6389,0.8939,595.9325,546.0483,67.6059
0.11,44.0,1.6389,0.8937,594.6508,544.7925,68.4531
0.11,45.0,1.6389,0.8937,594.6508,544.7925,68.4531
0.11,47.0,1.6389,0.8933,592.0707,542.2544,70.1503
0.11,48.0,1.6389,0.8931,590.772,540.9743,70.9985
0.11,48.0,1.6389,0.8931,590.772,540.9743,70.9985
0.11,48.0,1.6389,0.8931,590.772,540.9743,70.9985
0.11,48.0,1.6389,0.8931,586.8402,537.0867,73.5427
0.11,51.0,1.6389,0.8924,586.8402,537.0867,73.5427
0.11,51.0,1.6389,0.8924,586.8402,537.0867,73.5427
0.11,51.0,1.6389,0.8924,586.8402,537.0867,73.5427
0.11,51.0,1.6389,0.8924,586.8402,537.0867,73.5427
0.11,20.0,1.8056,0.8896,625.2501,574.8551,47.0047
0.11,21.0,1.8056,0.8894,624.0771,573.7396,47.8519
0.11,21.0,1.8056,0.8894,624.0771,573.7396,47.8519
0.11,22.0,1.8056,0.8892,622.9003,572.6192,48.6994
0.11,22.0,1.8056,0.8892,622.9003,572.6192,48.6994
0.11,22.0,1.8056,0.8892,622.9003,572.6192,48.6994
0.11,25.0,1.8056,0.8886,619.3468,569.2276,51.2434
0.11,25.0,1.8056,0.8886,619.3468,569.2276,51.2434
0.11,25.0,1.8056,0.8886,619.3468,569.2276,51.2434
0.11,25.0,1.8056,0.8886,619.3468,569.2276,51.2434
0.11,25.0,1.8056,0.8886,619.3468,569.2276,51.2434
0.11,31.0,1.8056,0.8874,612.1306,562.301,56.3372
0.11,32.0,1.8056,0.8872,610.913,561.1289,57.1854
0.11,32.0,1.8056,0.8872,610.913,561.1289,57.1854
0.11,32.0,1.8056,0.8872,610.913,561.1289,57.1854
0.11,32.0,1.8056,0.8872,610.913,561.1289,57.1854
0.11,32.0,1.8056,0.8872,610.913,561.1289,57.1854
0.11,32.0,1.8056,0.8872,610.913,561.1289,57.1854
0.11,38.0,1.8056,0.8859,603.5113,553.9609,62.2845
0.11,38.0,1.8056,0.8859,603.5113,553.9609,62.2845
0.11,39.0,1.8056,0.8857,602.261,552.7466,63.1331
0.11,39.0,1.8056,0.8857,602.261,552.7466,63.1331
0.11,39.0,1.8056,0.8857,602.261,552.7466,63.1331
0.11,39.0,1.8056,0.8857,602.261,547.8134,66.5343
0.11,43.0,1.8056,0.8845,595.9325,546.5664,67.3822
0.11,44.0,1.8056,0.8845,595.9325,546.5664,67.3822
0.11,44.0,1.8056,0.8845,595.9325,546.5664,67.3822
0.11,47.0,1.8056,0.8838,592.0707,542.7739,69.931
